Distribution,NumClust,PointsCluster
n,5,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.2585,0.75,0.5795,0.6425,1.0,1.0,0.9975,0.806,0.748,0.0175
0.1,0.75,0.75,0.2585,0.75,0.571,0.635,1.0,1.0,0.9985,0.791,0.75,0.019
0.2,0.75,0.75,0.2575,0.75,0.568,0.631,1.0,1.0,0.9975,0.786,0.7385,0.019
0.3,0.75,0.75,0.26,0.75,0.5715,0.632,1.0,1.0,0.999,0.7805,0.7445,0.0205
0.4,0.7495,0.7495,0.2555,0.75,0.567,0.629,1.0,1.0,0.9955,0.7765,0.7315,0.015
0.5,0.7455,0.7455,0.254,0.7495,0.5575,0.6275,1.0,1.0,0.9975,0.775,0.726,0.0105
0.6,0.7355,0.7355,0.255,0.7455,0.5605,0.6255,1.0,1.0,0.992,0.774,0.729,0.014
0.7,0.7155,0.7155,0.2565,0.7355,0.55,0.6245,1.0,1.0,0.9915,0.7685,0.722,0.016
0.8,0.702,0.702,0.2575,0.7335,0.5695,0.62,1.0,1.0,0.991,0.7685,0.72,0.02
0.9,0.6855,0.6855,0.2545,0.7135,0.561,0.627,1.0,1.0,0.992,0.7715,0.709,0.015
1.0,0.6705,0.6705,0.256,0.711,0.5635,0.6125,1.0,1.0,0.989,0.7645,0.736,0.015
